mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
king on the throne,  ஓலக்கஅரசர், 
servants at the,  ஓலக்கச்சூளை, 
assembly of state,  ஓலக்கம்; நாளோலக்கம், 
pompous speech in an assembly,  ஒலக்கமொழி, 
cry of amentation,  ஒலக்கமொழி, 
exclamation entreating succor,  ஒலக்கமொழி, 
split leaf of the palmyra prepared for writing,  ஓலம்போழ், 
a kind of vegetable dish,  ஓலன், 
a kind of vegetable-dish,  ஓலன், 
to hawl,  ஓலிடல், 
to emit a pleasant sound,  ஒலுறு, 
to lull a child to sleep,  ஒலுறு, 
to be filled with sound,  ஓலுறு, 
to resound,  துவை, ஓலுறு, 
frond,  பனை, ஓலை, ஓலை (பெரணி, தென்னை), அகலிலை, பரந்த இலை, 
leaf of pal,  ஓலை, 
horoscop,  குறிப்பு, ஓலை, 
letter or any writing on a palmyra leaf,  ஓலை, 
palmyra leaf on which something is written,  ஓலை, 
rolled palm leaf used as an ear ornament,  ஓலை, 
ornament worn in the lobe of the ear,  ஓலை, 
as of gold often set with precious stones,  ஓலை, 
umbrella made of palm leaf,  ஓலை, 
letter or any writing on a palmyra leaf palmyra leaf on which something in written,  ஓலை, 
rolled palm-leaf used as an ear ornament,  ஓலை, 
umbrella made of palm-leaf,  ஓலை, 
scallop or indentation of the palmyra-leaf,  ஓலைக்கண், 
tender leaf of palm trees,  ஓலைக்கணாட்டு, ஓலைக்கண், 
learners at school,  ஓலைக்கணக்கர், 
palm leaf screen,  ஓலைக்கதவு, 
used as a door,  ஓலைக்கதவு, 
cinder of palm leaf,  ஓலைக்காந்தல், 
as burning,  ஓலைக்காந்தல், 
floating flakes,  ஓலைக்காந்தல், 
dry pieces of palm leaf,  ஓலைக்காந்தல், 
cinder of palm-leaf,  ஓலைக்காந்தல், 
messanger,  ஓலைக்காரன், 
a kind of sea-crab,  ஓலைக்கால் நண்டு, பாறைநண்டு, 
chip or small piece of the palmyra leaf,  ஓலைக்கிணாட்டு, 
flat chank,  ஓலைக்கிளிஞ்சில், 
like a palm leaf,  ஓலைக்கிளிஞ்சில், 
flat chank like a palm-leaf,  ஓலைக்கிளிஞ்சில், 
palm leaf hood used as an umbrella,  ஓலைக்குடை, 
palm-leaf umbrella,  ஓலைக்கூடு, 
tax for palm leaves prepared for writing,  ஓலைக்கூலம், 
kite made of palmyra leaf,  ஓலைக்கொடி, 
defect in the horns of cattle,  ஓலைக்கொம்பு, 
