worship with sacred fire on an altar,  யாகம், 
a kind of single bullock cart with only one seat,  ரேக்ளாவண்டி, 
a kind of single bullock-cart with only one seat,  ரேக்ளாவண்டி, 
documentary evidence,  ரேகாமூலம், ஆவணச் சான்று, எழுத்துச் சான்று, ஆவண சாட்சியம், 
line on t,  ரேகை, 
a needle used in embroidery work,  ரேந்தா, 
lace-work,  ரேந்தாத்தையல், 
the last of the twenty seven divisions of the zodiac in Indian astrology corresponding to an asterism but smaller than a constellation,  ரேவதி, 
narrow passage between the entrance and the living room of old houses,  ரேழி, 
as having cash,  ரொக்கக்காரன், 
rich man as having cash,  ரொக்கக்காரன், 
security in money,  ரொக்கசாமீன், 
a patta for land leased for cash rent,  ரொக்கப்பட்டா, 
ready ca,  ரொக்கம், 
cash transactions,  ரொக்க வியாபாரம், 
cash receipts or income,  ரொக்காதாயம், 
unleavened bread,  ரொட்டி, 
wheaten cake,  ரொட்டி, 
a written acknowledgment of a debt,  ரோக்கா, 
an order issued by the government authorising specific payments or supplies,  ரோக்கா, 
alleviation or cure of disease,  ரோகசாந்தி, 
a purificatory ceremony for the cure of diseases,  ரோகசாந்தி, 
diagnosis of disease,  ரோகநிதானம், 
cure of disease,  ரோகநிவாரணம், 
sticking plaster,  ஒட்டுப்பசைத்துணி, ரோசனபிளாசுதிரி, 
resinplaster,  ரோசனபிளாசுதிரி, 
emplastrum resinae,  ரோசனபிளாசுதிரி, 
