pain,  சவலை, அலம், பரிதாபம்;- இன்னாப்பு// சளம், அந்திரவாதம், ஆர்த்திகை, அவலம்: மிகை; நொவ்வு/ கடுப்பு; நோய், தா/ வல; நொவ்வல்/ வருத்து, அம்பாயம்; நோ; நொ, ஆசிரவம், பாந்தல், அனுக்கம்/ வலியளி, ஆய்/ வயாவிதனம்: மெலிவு, அப்பா/ குற்றம், அயர்வு;- இன்னாமை, ஆற்றாமை; நோசல், அக்கினிரோகணி, யாதனை, தாவு; நகழ்வு, உயவல், அமாநசியம், துயர்; நொம்பலம், ஈர்மை/ வருத்தம்/ கா/ வயா/ வேதனம்/ கசிவு/ வேது; நொள்ளாப்பு, அபிசாதம், அக்காடீ, துகு/ வல்லை/ கொ;- இன்னாங்கு/ வேதை; நலி; நோக்காடு/ வெய்துறல்;- இன்னல்/ வலிப்பு, அழுந்தல், ஏம்பல்/ கிலேசம், தோதகம், படர்; நோவு வலி, அணங்கு/ வலி, அருகு;- இன்னாது/ வேதனை// சாட்டியம், உட்குடைச்சல்; நோவு/ கடுகுப்பற்று, அழி;- இட்டளம், 
fear,  அருட்டி/ வெரு/ வெருட்சி, அச்சம், பீதி; நாம்/ வெள்கல்/ விறப்பு, அட்டாதசகுணம்/ கூச்சம், அருக்கு; நோய்/ விதிர்ப்பு, அரிள்/ வெறி// சூரம், அடுப்பு, அனுக்கம்// சிமுக்கம், தெறு, தெளிவு/ வெறுப்பு, ஈரல்கருகல்/ வெருட்டல்/ வெதிர்த்தல், அதிர்// சங்கை, அபிடங்கசுரம்/ குலைப்பதைப்பு/ கூசல், தேக்கம், துட்கு, ஊரு, பயங்கரம்/ வெருவு;- இரிபு, அதிர்ப்பு, உடற்குற்றம், பனி, அநுக்கம், புலம்பு, அக்காடீ, அஞ்சு; நடுக்கம், பே, உட்கு, அபிசங்கசுரம், பஞ்சபூதக்கூறு, பேடி, அருக்கல்/ கவலை, பருங்கல், அணங்கு/ கரிப்பு/ கெலிப்பு/ விடிவு;- இடும்பை, ஆதங்கம், உரு, பனிப்பு/ கடி/ கம்பலை, தாருணம்: மெருள், பேம், பீர்/ வேபனம், உறுகண், பயம்: மயல், அற்றம், அனிலம், அதிர்ச்சி/ கொன், துளக்கம்/ கலங்கல், தேயு; நடுங்கல், உரும்: மிறை, அரட்டி/ கெளரம், அரட்டு, துணுக்கம்/ கலக்கடி, அழுங்கல், ஊசல், ஆஞ்சி/ வெதிர்ப்பு, புன்கண், உடம்புநடுக்கம்; நெஞ்சமுக்கம்/ வயிரவம், பொருமல், அச்சு/ விதர்ப்பு/ வெய்துறல், பொதிர்வு: மருளல், தெருமரல்/ கயிறுபோடு/ வெருவந்தம், அச்சப்படு, துனி, பைரவம்/ வெருள், ஆபீலம், அஞ்சிக்கை: மனநடுக்கம், அதப்பு, அழுவம்/ வெடி/ விம்மிதம்; நாமம்// சூர், உபதி/ வீதி, அரண், உட்காரம், அஞர், 
belleric myrobalan,  தாபமாறி, பூதவாசம், அக்காத்தான்/ கந்துகன், அங்காத்தான், தாணி, அக்கணா, தான்றி, அக்கந்தம், அம்பலத்தி, அக்காடுதி, அக்கம், ஆராமம்/ கட்பலம்/ களந்தூன்றி, அகாந்தம், அக்காந்தி// சதகம், அதிரூபம், 
gross mortal body,  அக்காணி, 
sweet toddy drawn in a pot lined with lime to prevent fermentation,  அக்காணி, தெளிவு, 
goddess of poverty,  அக்காதேவி, 
represented as the elder sister of tirumagal,  அக்காதேவி, 
in mythology,  அக்காதேவி, 
a drug,  சந்திரநாகம்/ வண்ணிகை, ஏணகம்/ கோடாசாலை/ வங்கப்பாவை, அக்காரக்காரம், 
rice boiled with sugar,  அக்காரடலை, 
